task,candidate_rank,candidate_over_30_yield,yield_details
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: Brc1ccc2ncccc2c1
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1Br
ligand: CC(C)(C)P(C(C)(C)C)C(C)(C)C
base: [F-].[Cs+]  
Solvent list for selection:
CC#N,CN(C)C=O
Optimal solvent:
","['CC#N', 'CN(C)C=O']",[],"[[['CC#N', 18.69]], [['CN(C)C=O', 0.0]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: Ic1ccc2ncccc2c1
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+]
ligand: c1ccc(P(c2ccccc2)c2ccccc2)cc1
base: CCN(CC)CC  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['CO', 'C1CCOC1', 'CN(C)C=O']","['CO', 'C1CCOC1']","[[['CO', 80.09]], [['C1CCOC1', 47.17]], [['CN(C)C=O', 15.57]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: O=S(=O)(Oc1cnc2ccccc2c1)C(F)(F)F
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O
ligand: c1ccc(P(c2ccccc2)c2ccccc2)cc1
base: [OH-].[Na+]  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['CO', 'C1CCOC1', 'CN(C)C=O']","['CO', 'C1CCOC1', 'CN(C)C=O']","[[['CO', 96.7]], [['C1CCOC1', 96.32]], [['CN(C)C=O', 66.32]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: Ic1ccc2ncccc2c1
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O
ligand: CC(C)(C)P([C]1C=C[CH][C@@H]1[Fe]C1C=CC=C1P(C(C)(C)C)C(C)(C)C)C(C)(C)C
base: [OH-].[K+]  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['CO', 'CN(C)C=O', 'C1CCOC1']","['CO', 'CN(C)C=O', 'C1CCOC1']","[[['CO', 88.18]], [['CN(C)C=O', 81.9]], [['C1CCOC1', 64.7]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: O=S(=O)(Oc1cnc2ccccc2c1)C(F)(F)F
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+]
ligand: c1ccc(P(c2ccccc2)c2ccccc2)cc1
base: [OH-].[Na+]  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['CO', 'C1CCOC1', 'CN(C)C=O']","['CO', 'C1CCOC1']","[[['CO', 72.56]], [['C1CCOC1', 70.55]], [['CN(C)C=O', 19.48]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: CC1(C)OB(c2ccc3ncccc3c2)OC1(C)C
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1Br
ligand: Cc1ccccc1P(c1ccccc1C)c1ccccc1C
base: [OH-].[Na+]  
Solvent list for selection:
CC#N,C1CCOC1,CN(C)C=O
Optimal solvent:
","['C1CCOC1', 'CC#N', 'CN(C)C=O']","['C1CCOC1', 'CC#N', 'CN(C)C=O']","[[['C1CCOC1', 61.33]], [['CC#N', 47.41]], [['CN(C)C=O', 30.33]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: O=S(=O)(Oc1cnc2ccccc2c1)C(F)(F)F
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+]
ligand: CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21
base: [F-].[Cs+]  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['CO', 'C1CCOC1', 'CN(C)C=O']",[],"[[['CO', 15.09]], [['C1CCOC1', 13.45]], [['CN(C)C=O', 12.86]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: Ic1ccc2ncccc2c1
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1
ligand: CC(C)(C)P([C]1C=C[CH][C@@H]1[Fe]C1C=CC=C1P(C(C)(C)C)C(C)(C)C)C(C)(C)C
base: [Li+].CC(C)(C)[O-]  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['CO', 'CN(C)C=O', 'C1CCOC1']","['CO', 'CN(C)C=O', 'C1CCOC1']","[[['CO', 88.71]], [['CN(C)C=O', 83.34]], [['C1CCOC1', 80.23]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: O=S(=O)(Oc1cnc2ccccc2c1)C(F)(F)F
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1
ligand: CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21
base: CCN(CC)CC  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['C1CCOC1', 'CN(C)C=O', 'CO']","['C1CCOC1', 'CN(C)C=O']","[[['C1CCOC1', 44.42]], [['CN(C)C=O', 42.84]], [['CO', 4.63]]]"
"You are an expert chemist. Given selected two reactants, two reagents of a Suzuki reaction, predict the optimal solvent that maximize the yield with the rest of reaction components by using your experienced chemical solvent selection knowledge. No explanations and other information. Only return the solvent smiles from the given list. Please strictly follow the format, the template are provided as follows:
Given the rest of reaction components:
reactant: reactant 1
reactant: reactant 2
ligand: ligand 1
base: base 1 
solvent list: solvent 1,solvent 2,solvent 3,.etc
Optimal solvent: solvent 2 

Given the rest of reaction components:
reactant 1: O=S(=O)(Oc1cnc2ccccc2c1)C(F)(F)F
reactant 2: Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1
ligand: CC(C)(C)P(C(C)(C)C)C(C)(C)C
base: [OH-].[Na+]  
Solvent list for selection:
C1CCOC1,CN(C)C=O,CO
Optimal solvent:
","['CN(C)C=O', 'C1CCOC1', 'CO']","['CN(C)C=O', 'C1CCOC1']","[[['CN(C)C=O', 52.87]], [['C1CCOC1', 31.45]], [['CO', 28.74]]]"
